Sample,1_01,1_02,1_03,2_01,2_02,2_03,3_01,3_02,3_03,5_01,5_02,5_03,6_01,6_02,6_03
100.001@0.33521432,63669,40602,41484,39264,44119,47967,59132,51310,53741,42816,1,35939,49533,51039,48878
81.9906@0.335,46045,40214,36215,38740,33594,39932,40579,38103,42063,31382,27363,33431,44594,41150,41456
142.0118@0.33486667,426129,347727,433001,319911,378078,380525,403611,370616,393607,376065,275360,292106,443170,368884,397788
146.1052@0.34713334,99230,82800,88274,109595,112234,127758,100132,87932,98799,125705,100287,132661,103495,96638,98409
245.9963@0.34750003,30235,27246,31875,26479,28100,32013,32534,35264,34901,24975,1,26626,30014,43112,39088
942.9839@0.34979996,1,142988,160374,1,137467,1,131850,136772,1,136685,139442,121727,167530,1,132339
132.0896@0.35069996,1,1,26356,57033,33250,1,43633,27909,1,1,37670,52726,43581,41117,34052
410.0021@0.35486665,30434,24725,23523,23684,22959,23767,22325,28057,30803,21787,17473,20300,26011,27722,25690
327.9995@0.35293332,36352,29204,27228,29402,26201,34114,37282,35099,36927,34330,25041,23153,35450,39660,30526
589.9851@0.36625004,20478,1,1,14183,18167,18345,25137,22439,34360,14820,1,11909,21855,25899,18261
492.0046@0.35779998,54382,44487,43768,43870,42412,43326,49073,51820,47466,38395,34046,35893,43655,79667,51676
574.0076@0.35866663,35992,29528,32853,28936,28105,28740,35392,49239,36412,26920,22864,27678,31591,38582,34806
507.9826@0.36092308,17614,1,15135,20057,1,17100,23602,25855,37181,17682,16102,17522,30198,28394,27854
656.0113@0.3608,22907,26912,23077,32091,25362,17070,27864,28678,25931,28436,20656,23608,27373,32483,24578
600.0838@0.36813337,48158,45860,48142,57268,58555,57112,50008,47322,45597,67438,53060,68211,51150,50750,53528
586.0678@0.36766672,15777,14430,16720,27252,26138,28319,22082,22055,23647,24306,19940,25746,21350,20992,19282
504.0648@0.36715382,14240,13369,1,25378,23731,26096,19173,21417,19749,1,19732,24025,17609,17665,19151
